序号,标题,标题翻译,链接,作者,作者单位,年份,期刊/会议,类别,AI建议新类别,摘要总结
1,AdvAgent: Controllable Blackbox Red-teaming on Web Agents.,AdvAgent:面向网页智能体的可控黑盒红队测试,https://proceedings.mlr.press/v267/xu25m.html,Chejian Xu; Mintong Kang; Jiawei Zhang 0013; Zeyi Liao; Lingbo Mo; Mengqi Yuan; Huan Sun 0001; Bo Li 0026,N/A,2025,ICML,智能体安全评测与红队,N/A,"本文提出AdvAgent,一个用于攻击网页智能体的黑盒红队框架。该方法通过强化学习训练对抗提示生成器,利用黑盒反馈不断优化提示,在保持隐蔽性和可控性的同时诱发智能体失误。实验表明,AdvAgent能够在多种网页任务上以较高成功率攻击基于GPT-4的先进网页智能体,且现有基于提示的防御效果有限。"
2,Automated Red Teaming with GOAT: the Generative Offensive Agent Tester.,使用 GOAT 进行自动化红队测试:生成式攻击智能体测试器,https://proceedings.mlr.press/v267/pavlova25a.html,Maya Pavlova; Erik Brinkman; Krithika Iyer; Vítor Albiero; Joanna Bitton; Hailey Nguyen; Cristian Canton Ferrer; Ivan Evtimov; Aaron Grattafiori,N/A,2025,ICML,智能体安全评测与红队,N/A,"本文提出 GOAT,一个自动化的智能体式红队系统,通过模拟自然语言的多轮对话并结合多种对抗提示技术,来发现大语言模型中的安全漏洞。该方法旨在更贴近真实用户的攻击方式,提升红队测试的效率与可扩展性,并在多个先进模型上取得了较高的越狱成功率。"
3,Enhancing Cooperative Multi-Agent Reinforcement Learning with State Modelling and Adversarial Exploration.,通过状态建模与对抗式探索增强协作式多智能体强化学习,https://proceedings.mlr.press/v267/kontogiannis25a.html,Andreas Kontogiannis; Konstantinos Papathanasiou; Yi Shen 0011; Giorgos Stamou; Michael M. Zavlanos; George A. Vouros,N/A,2025,ICML,多智能体安全,N/A,"本文面向无通信、分布式部分可观测环境下的协作式多智能体强化学习问题,提出一种状态建模框架,使智能体能够从各自观测中推断对不可观测全局状态的有效信念表示,并过滤冗余信息。在此基础上,作者提出SMPE算法,将信念表示显式融入策略网络,并通过对抗式探索促进智能体发现高价值新状态、提升彼此的判别能力。实验结果表明,该方法在多个全协作任务基准上优于现有先进MARL方法。"
4,EnIGMA: Interactive Tools Substantially Assist LM Agents in Finding Security Vulnerabilities.,EnIGMA:交互式工具显著帮助语言模型智能体发现安全漏洞,https://proceedings.mlr.press/v267/abramovich25a.html,Talor Abramovich; Meet Udeshi; Minghao Shao; Kilian Lieret; Haoran Xi; Kimberly Milner; Sofija Jancheska; John Yang 0002; Carlos E. Jimenez; Farshad Khorrami; Prashanth Krishnamurthy; Brendan Dolan-Gavitt; Muhammad Shafique 0001; Karthik R. Narasimhan; Ramesh Karri; Ofir Press,N/A,2025,ICML,智能体安全评测与红队,N/A,"本文提出 EnIGMA,一个用于自动解决 CTF 题目的语言模型智能体,并引入新的交互式工具与接口,使智能体能够使用调试器、服务器连接工具等关键交互式终端程序,从而更有效地发现和利用安全漏洞。实验覆盖 390 道 CTF 题目,结果表明这些工具显著提升了智能体性能,并在多个基准上取得最先进结果。论文还分析了数据泄露问题,提出了新的量化方法,并发现了“soliloquizing”现象,即模型在未与环境交互时自发生成幻觉观察。"
5,GuardAgent: Safeguard LLM Agents via Knowledge-Enabled Reasoning.,GuardAgent:通过知识增强推理保护大语言模型智能体,https://proceedings.mlr.press/v267/xiang25a.html,Zhen Xiang; Linzhi Zheng; Yanjie Li; Junyuan Hong; Qinbin Li; Han Xie; Jiawei Zhang 0013; Zidi Xiong; Chulin Xie; Carl Yang 0001; Dawn Song; Bo Li 0026,N/A,2025,ICML,智能体安全,N/A,"论文提出 GuardAgent,一种用于保护目标 LLM 智能体的护栏智能体。它会动态检查目标智能体的行为是否满足给定安全规则:先解析安全防护请求并生成任务计划,再将计划映射为可执行的护栏代码,从而确定性地执行安全检查。该方法结合 LLM 推理与记忆模块中的历史任务示例,并提出两个新基准 EICU-AC 和 Mind2Web-SC,用于评估医疗智能体访问控制和网页智能体安全策略。实验表明 GuardAgent 能有效拦截不同智能体的违规行为。"
6,Learning to Incentivize in Repeated Principal-Agent Problems with Adversarial Agent Arrivals.,在对抗性智能体到达的重复委托—代理问题中学习激励机制,https://proceedings.mlr.press/v267/liu25at.html,Junyan Liu; Arnab Maiti; Artin Tajdini; Kevin Jamieson 0001; Lillian J. Ratliff,N/A,2025,ICML,其他,激励机制与序贯决策,"论文研究有限时域内的重复委托—代理问题:面对以对抗性顺序到达的多类型代理,委托方需要在每轮选择激励某个臂,诱导未知类型代理采取行动,并最大化自身累计收益。作者指出,在完全不了解代理行为时,该问题不可解且会产生线性遗憾;随后分析了两类可实现次线性遗憾的设定:一类是已知各类型代理在任意激励下的贪心选择,提出算法并给出接近最优的遗憾上界;另一类是代理响应关于激励满足Lipschitz平滑性,也给出了相应算法及紧致下界。最后,论文还将结果扩展到每轮可同时激励多个臂的情形。"
7,MELON: Provable Defense Against Indirect Prompt Injection Attacks in AI Agents.,MELON:针对 AI 智能体间接提示注入攻击的可证明防御方法,https://proceedings.mlr.press/v267/zhu25z.html,Kaijie Zhu; Xianjun Yang; Jindong Wang 0001; Wenbo Guo 0002; William Yang Wang,N/A,2025,ICML,提示注入与越狱,N/A,"该论文提出了一种名为 MELON 的新型防御方法,用于应对 AI 智能体中的间接提示注入攻击。其核心思想是:当攻击成功时,智能体的后续动作会更依赖工具检索内容中的恶意任务,而非用户原始任务。基于此,MELON通过对用户提示进行掩蔽后重新执行智能体轨迹,并比较原始执行与掩蔽执行产生的动作相似性来检测攻击,同时结合多项设计降低误报和漏报。实验结果表明,MELON 在攻击防御效果和正常功能保持方面优于现有方法,并且与提示增强防御结合后性能进一步提升。"
8,SafeArena: Evaluating the Safety of Autonomous Web Agents.,SafeArena:评估自主网页智能体的安全性,https://proceedings.mlr.press/v267/tur25a.html,Ada Defne Tur; Nicholas Meade; Xing Han Lù; Alejandra Zambrano; Arkil Patel; Esin Durmus; Spandana Gella; Karolina Stanczak; Siva Reddy,N/A,2025,ICML,N/A,N/A,N/A
9,ShieldAgent: Shielding Agents via Verifiable Safety Policy Reasoning.,ShieldAgent:通过可验证的安全策略推理对智能体进行防护,https://proceedings.mlr.press/v267/chen25ae.html,Zhaorun Chen; Mintong Kang; Bo Li 0026,N/A,2025,ICML,智能体安全评测与红队,N/A,"本文提出 ShieldAgent,一种用于保护其他智能体的防护智能体,通过逻辑推理将安全策略文档中的可验证规则转化为基于动作的概率规则电路,并结合工具库与可执行代码对目标智能体的动作轨迹进行形式化验证与拦截。作者还构建了面向智能体安全的基准 ShieldAgent-Bench,包含 3K 条跨 6 个 Web 环境和 7 类风险的指令-轨迹对。实验表明该方法在多个基准上取得最优表现,同时在召回率、查询效率和推理时间方面也优于现有方法。"
10,UDora: A Unified Red Teaming Framework against LLM Agents by Dynamically Hijacking Their Own Reasoning.,UDora:一种通过动态劫持大语言模型智能体自身推理过程进行统一红队攻击的框架,https://proceedings.mlr.press/v267/zhang25cl.html,Jiawei Zhang 0002; Shuang Yang; Bo Li 0026,N/A,2025,ICML,智能体安全评测与红队,N/A,"本文提出了面向具备工具调用能力的LLM智能体的统一红队框架UDora。该方法先生成智能体在任务中的推理轨迹,再自动识别适合插入扰动的位置,动态劫持其推理过程,并通过迭代优化诱导智能体执行指定恶意行为或调用特定恶意工具。实验表明,该方法在三个LLM智能体数据集上优于现有攻击方法。"
