序号,标题,标题翻译,链接,作者,作者单位,年份,期刊/会议,类别,AI建议新类别,摘要总结
1,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents.,智能体安全基准(ASB):形式化与基准评测基于大语言模型的智能体攻击与防御,https://openreview.net/forum?id=V4y0CpX4hK,Hanrong Zhang; Jingyuan Huang; Kai Mei; Yifei Yao; Zhenting Wang; Chenlu Zhan; Hongwei Wang 0001; Yongfeng Zhang 0003,N/A,2025,ICLR,智能体安全评测与红队,N/A,"本文提出了一个面向LLM智能体安全的综合评测框架ASB,用于系统化形式化、基准测试和评估智能体的攻击与防御能力。ASB覆盖10类真实场景、10个对应智能体、400多个工具、27种攻击/防御方法和7项评测指标,并在13个LLM骨干模型上测试了提示注入、记忆投毒、Plan-of-Thought后门攻击及混合攻击等。结果表明,LLM智能体在系统提示、用户提示处理、工具调用和记忆检索等多个环节存在显著漏洞,攻击成功率很高,而现有防御效果有限。"
2,AutoDAN-Turbo: A Lifelong Agent for Strategy Self-Exploration to Jailbreak LLMs.,"AutoDAN-Turbo:一种用于策略自我探索的终身智能体,以越狱大语言模型",https://openreview.net/forum?id=bhK7U37VW8,Xiaogeng Liu; Peiran Li; G. Edward Suh; Yevgeniy Vorobeychik; Zhuoqing Mao 0001; Somesh Jha; Patrick McDaniel; Huan Sun 0001; Bo Li 0026; Chaowei Xiao,N/A,2025,ICLR,智能体越狱与越权,N/A,"本文提出 AutoDAN-Turbo,一种黑盒越狱方法,能够在无需人工干预和预设策略范围的情况下,从零开始自动发现尽可能多的越狱策略,并将其用于红队测试。该框架还能以即插即用方式整合已有人工设计的越狱策略,从而显著提升攻击成功率,在多个公开基准上表现优于基线方法。"
3,BadRobot: Jailbreaking Embodied LLM Agents in the Physical World.,BadRobot:在物理世界中越狱具身大语言模型智能体,https://openreview.net/forum?id=ei3qCntB66,Hangtao Zhang; Chenyu Zhu; Xianlong Wang 0001; Ziqi Zhou 0001; Changgan Yin; Minghui Li; Lulu Xue; Yichen Wang; Shengshan Hu; Aishan Liu; Peijin Guo; Leo Yu Zhang,N/A,2025,ICLR,N/A,N/A,N/A
4,Can We Trust Embodied Agents? Exploring Backdoor Attacks against Embodied LLM-Based Decision-Making Systems.,我们能信任具身智能体吗?探索针对基于具身大语言模型的决策系统的后门攻击,https://openreview.net/forum?id=S1Bv3068Xt,Ruochen Jiao; Shaoyuan Xie; Justin Yue; Takami Sato; Lixu Wang; Yixuan Wang 0001; Qi Alfred Chen; Qi Zhu 0002,N/A,2025,ICLR,智能体攻击与对抗,N/A,"论文提出了首个针对具身 AI 中基于大语言模型决策系统的后门攻击框架 BALD,系统分析微调过程中引入的攻击面与触发机制。作者设计了词注入、场景操纵和知识注入三类攻击,并在自动驾驶和家庭机器人任务中对 GPT-3.5、LLaMA2、PaLM2 等模型进行实验,证明这些后门触发器具有高成功率、隐蔽性和较强防御鲁棒性,可导致车辆冲向障碍物、机器人将刀放到床上等危险行为。"
5,Collab: Controlled Decoding using Mixture of Agents for LLM Alignment.,Collab:利用智能体混合进行受控解码以实现大语言模型对齐,https://openreview.net/forum?id=7ohlQUbTpp,Souradip Chakraborty; Sujay Bhatt; Udari Madhushani Sehwag; Soumya Suvra Ghosal; Jiahao Qiu; Mengdi Wang 0001; Dinesh Manocha; Furong Huang; Alec Koppel; Sumitra Ganesh,N/A,2025,ICLR,智能体对齐与鲁棒性,N/A,"论文提出一种在推理阶段进行对齐的受控解码方法,将多个已对齐的LLM策略视为不同智能体,在每个token生成时根据长期效用动态选择最合适的模型,从而无需重新训练即可提升任务表现。实验表明,该方法在多种任务和偏好上优于单智能体解码基线,并显著提升平均奖励和胜率。"
6,Direct Post-Training Preference Alignment for Multi-Agent Motion Generation Model Using Implicit Feedback from Pre-training Demonstrations.,基于预训练示范隐式反馈的多智能体运动生成模型直接后训练偏好对齐,https://openreview.net/forum?id=8UFG9D8xeU,Thomas Tian; Kratarth Goel,N/A,2025,ICLR,智能体对齐与鲁棒性,N/A,"本文针对多智能体运动生成模型在后训练偏好对齐中需要大量人工偏好标注、成本高的问题,提出利用预训练示范中蕴含的隐式偏好来构建模型生成样本之间的排序关系,从而以零人工成本实现更有效的偏好对齐。方法应用于大规模交通仿真,显著提升了生成行为的真实性,并使轻量级运动生成模型接近最先进的大型模仿学习模型。"
7,Discrete GCBF Proximal Policy Optimization for Multi-agent Safe Optimal Control.,用于多智能体安全最优控制的离散 GCBF 近端策略优化,https://openreview.net/forum?id=1X1R7P6yzt,Songyuan Zhang; Oswin So; Mitchell Black 0001; Chuchu Fan,N/A,2025,ICLR,多智能体安全,N/A,"本文提出 DGPPO 框架,用于在未知离散时间动力学、部分可观测、邻域变化和输入约束等条件下,同时学习离散图控制屏障函数与分布式安全高性能策略,实现多智能体系统的安全最优控制,并在多个仿真环境中验证了其兼顾任务性能与安全性的效果。"
8,Dissecting Adversarial Robustness of Multimodal LM Agents.,剖析多模态语言模型智能体的对抗鲁棒性,https://openreview.net/forum?id=YauQYh2k1g,Chen Henry Wu; Rishi Rajesh Shah; Jing Yu Koh; Russ Salakhutdinov; Daniel Fried; Aditi Raghunathan,N/A,2025,ICLR,智能体攻击与对抗,N/A,"本文关注多模态语言模型智能体在真实网页环境中的对抗鲁棒性问题。作者基于 VisualWebArena 构建了包含 200 个定向对抗任务的评测集,并提出 ARE(Agent Robustness Evaluation)框架,将智能体建模为组件间中间输出流动的图,以分析对抗信息如何在系统中传播。实验发现,即使是采用黑盒前沿大模型、具备反思和树搜索能力的智能体,也会被单张图像上几乎不可察觉的微小扰动劫持,从而执行攻击者指定目标,攻击成功率最高可达 67%。此外,论文还发现,某些原本用于提升性能的推理时组件反而会引入新的攻击面,降低系统鲁棒性。"
9,Eia: Environmental Injection Attack on Generalist Web Agents for Privacy Leakage.,Eia:面向通用网页智能体的环境注入攻击及其隐私泄露风险,https://openreview.net/forum?id=xMOLUzo2Lk,Zeyi Liao; Lingbo Mo; Chejian Xu; Mintong Kang; Jiawei Zhang 0013; Chaowei Xiao; Yuan Tian; Bo Li 0026; Huan Sun 0001,N/A,2025,ICLR,数据泄露与信息窃取,N/A,"论文首次系统研究了通用网页智能体在对抗环境中的隐私风险,提出了一种针对网页环境的环境注入攻击(EIA)。该攻击通过向网站环境中注入与场景高度适配的恶意内容,诱导智能体泄露用户的特定PII或完整请求。作者在包含多类PII的真实网页任务上进行实验,结果显示EIA具有较高攻击成功率且较难被检测和缓解,并进一步讨论了无需人工监督的前后部署防御策略。"
10,Empowering Users in Digital Privacy Management through Interactive LLM-Based Agents.,通过交互式基于大语言模型的智能体赋能用户进行数字隐私管理,https://openreview.net/forum?id=FEpAUnS7f7,Bolun Sun; Yifan Zhou; Haiyun Jiang,N/A,2025,ICLR,智能体隐私保护,N/A,"本文提出一种基于大语言模型的交互式对话智能体,用于帮助用户理解网站隐私政策。研究表明,LLM 在数据实践识别、用户选择识别、政策摘要生成和隐私问答等任务上显著优于传统方法。基于此,作者构建了一个可主动引导用户理解复杂法律文本的隐私政策专家系统。100名参与者的用户研究显示,该智能体能够提升用户对隐私政策的理解程度、降低认知负担、增强隐私管理信心,并显著缩短完成任务的时间。"
