序号,标题,标题翻译,链接,作者,作者单位,年份,期刊/会议,类别,AI建议新类别,摘要总结
1,CoDe: Communication Delay-Tolerant Multi-Agent Collaboration via Dual Alignment of Intent and Timeliness.,CoDe:通过意图与时效性双重对齐实现容忍通信延迟的多智能体协作,https://doi.org/10.1609/aaai.v39i22.34497,Shoucheng Song; Youfang Lin; Sheng Han 0001; Chang Yao; Hao Wu 0010; Shuo Wang 0031; Kai Lv 0002,N/A,2025,AAAI,多智能体安全,N/A,"论文研究多智能体强化学习中异步通信和信道延迟对协作的影响,提出 CoDe 框架:通过未来动作推断学习稳定的意图表征,并设计意图与时效性双重对齐机制,以更好融合延迟消息。实验表明该方法在无延迟、固定延迟和时变延迟场景下均提升了多智能体协作性能与鲁棒性。"
2,CP-Guard: Malicious Agent Detection and Defense in Collaborative Bird's Eye View Perception.,CP-Guard:协同鸟瞰图感知中的恶意智能体检测与防御,https://doi.org/10.1609/aaai.v39i22.34486,Senkang Hu; Yihang Tao; Guowen Xu; Yiqin Deng; Xianhao Chen; Yuguang Fang; Sam Kwong,N/A,2025,AAAI,智能体攻击与对抗,N/A,"本文针对协同感知中恶意车辆/智能体发送错误信息误导自车的问题,提出CP-Guard防御机制。该方法通过概率无关的样本一致性验证(PASAC)和协同一致性损失(CCLoss)来检测并剔除恶意协作者,从而提升协同BEV感知的安全性与鲁棒性。"
3,Exploring the Efficacy of Multi-Agent Reinforcement Learning for Autonomous Cyber Defence: A CAGE Challenge 4 Perspective.,探索多智能体强化学习在自主网络防御中的有效性:基于 CAGE Challenge 4 的视角,https://doi.org/10.1609/aaai.v39i28.35158,Mitchell Kiely; Metin Ahiskali; Etienne Borde; Benjamin Bowman; David Bowman; Dirk Van Bruggen; KC Cowan; Prithviraj Dasgupta; Erich Devendorf; Ben Edwards; Alex Fitts; Sunny Fugate; Ryan Gabrys; Wayne Gould; H. Howie Huang; Jules Jacobs; Ryan Kerr; Isaiah J. King; Li Li 0009; Luis Martinez; Christopher Moir; Craig Murphy; Olivia Naish; Claire Owens; Miranda Purchase; Ahmad Ridley; Adrian Taylor; Sara Farmer; William John Valentine; Yiyi Zhang,N/A,2025,AAAI,多智能体安全,N/A,"本文围绕企业网络中的自主网络防御,探讨多智能体强化学习(MARL)相较于单智能体深度强化学习的潜力。论文提出了一个面向网络安全防御的多智能体环境,即 CAGE 挑战赛第四版,用于评估 MARL 算法在企业级网络中的防御效果、鲁棒性与可扩展性,旨在验证 MARL 作为自主网络防御方案的可行性。"
4,Graph Agent Network: Empowering Nodes with Inference Capabilities for Adversarial Resilience.,图智能体网络:赋予节点推理能力以增强对抗鲁棒性,https://doi.org/10.1609/aaai.v39i18.34063,Ao Liu 0005; Wenshan Li 0001; Tao Li 0016; Beibei Li 0002; Guangquan Xu; Pan Zhou 0001; Wengang Ma; Hanyuan Huang,N/A,2025,AAAI,智能体攻击与对抗,N/A,"本文提出图智能体网络(GAgN),将每个节点建模为仅观察1跳邻域的智能体,通过去中心化交互学习全局感知能力,用于推断节点嵌入、度信息和邻居关系,从而过滤对抗性边扰动并完成分类。该方法由于智能体视野有限,可抑制恶意消息的全局传播,进而提升对边扰动攻击和二次攻击的防御能力,实验表明其在扰动数据集上取得了优于现有防御方法的分类效果。"
5,Learning Verified Safe Neural Network Controllers for Multi-Agent Path Finding.,面向多智能体路径规划的可验证安全神经网络控制器学习,https://doi.org/10.1609/aaai.v39i22.34504,Mingyue Zhang 0002; Nianyu Li; Yi Chen; Jialong Li 0001; Xiaoyi Zhang; Hengjun Zhao; Jiamou Liu; Wu Chen 0005,N/A,2025,AAAI,多智能体安全,N/A,"论文针对多智能体路径规划中的碰撞规避安全问题,提出 VSMANC 方法,将去中心化控制屏障函数与神经网络控制器进行统一训练,并结合形式化验证引导的再训练过程来验证安全性质、生成反例并提升控制器可靠性。实验在队形形成和无人机仿真中表明,该方法能在复杂多智能体环境中提升安全性和有效性。"
6,Multi-Agent Security Tax: Trading Off Security and Collaboration Capabilities in Multi-Agent Systems.,多智能体安全税:多智能体系统中安全性与协作能力的权衡,https://doi.org/10.1609/aaai.v39i26.34970,Pierre Peigné; Mikolaj Kniejski; Filip Sondej; Matthieu David; Jason Hoelscher-Obermaier; Christian Schröder de Witt; Esben Kran,N/A,2025,AAAI,多智能体安全,N/A,"本文通过多智能体协作仿真研究安全风险与协作能力之间的权衡。作者设定攻击者先控制一个智能体,再通过感染式恶意提示多跳传播,诱导其他智能体产生偏离目标的行为。实验评估了“疫苗式”记忆注入和通用安全指令等防御策略,发现它们能抑制恶意指令传播,但通常会降低系统协作效率,说明多智能体安全与协作能力之间存在明显权衡。"
7,Private Blotto: Viewpoint Competition with Polarized Agents.,Private Blotto:极化智能体之间的观点竞争,https://doi.org/10.1609/aaai.v39i13.33505,Kate Donahue; Jon M. Kleinberg,N/A,2025,AAAI,多智能体安全,N/A,"本文提出并研究了 Private Blotto 博弈,用于描述独立行动的个体在多个对象上的竞争。作者分析了该博弈的纳什稳定性,以及不同聚合规则(多数规则/中位数与均值)对用户努力分配失衡的影响,讨论了其在社交媒体标注和政治竞争中的应用启示。"
8,Quantifying Misalignment Between Agents: Towards a Sociotechnical Understanding of Alignment.,量化智能体之间的不一致:迈向一种社会技术视角的对齐理解,https://doi.org/10.1609/aaai.v39i26.34947,Aidan Kierans; Avijit Ghosh; Hananel Hazan; Shiri Dori-Hacohen,N/A,2025,AAAI,智能体对齐与鲁棒性,N/A,"论文针对传统对齐研究多聚焦单个智能体或抽象的人类整体这一局限,提出一个面向多主体情境的量化不一致模型。该模型借鉴计算社会科学中的人类争议建模方法,结合主体群体构成、任务领域和加权偏好冲突来计算不一致分数,并通过模拟和自动驾驶案例验证其对复杂社会技术环境中的对齐问题具有解释力和实用性。"
9,RAT: Adversarial Attacks on Deep Reinforcement Agents for Targeted Behaviors.,RAT:针对目标行为的深度强化学习智能体对抗攻击,https://doi.org/10.1609/aaai.v39i15.33696,Fengshuo Bai; Runze Liu 0002; Yali Du 0001; Ying Wen 0001; Yaodong Yang 0001,N/A,2025,AAAI,智能体攻击与对抗,N/A,"本文提出RAT,用于对深度强化学习智能体实施面向特定目标行为的对抗攻击,而不仅仅是降低累计奖励。方法通过训练与人类偏好对齐的意图策略作为精确行为目标,并结合对手对被攻击策略的操控,以及动态调整回放缓冲区中的状态占用分布,来更有效地诱导智能体产生指定行为。实验表明,RAT在机器人仿真任务和MuJoCo/Decision Transformer场景中均优于现有攻击方法,并可用于提升智能体鲁棒性评估。"
10,Vision-Based Generic Potential Function for Policy Alignment in Multi-Agent Reinforcement Learning.,用于多智能体强化学习中策略对齐的视觉驱动通用势函数,https://doi.org/10.1609/aaai.v39i18.34123,Hao Ma; Shijie Wang 0006; Zhiqiang Pu; Siyao Zhao; Xiaolin Ai,N/A,2025,AAAI,智能体对齐与鲁棒性,N/A,"本文提出一种分层的视觉驱动奖励塑形方法,用于将多智能体强化学习策略对齐到人类常识。底层利用视觉语言模型作为通用势函数,借助其语义理解能力引导策略;顶层通过基于视觉大语言模型的自适应技能选择模块,结合指令、视频回放和训练记录,从预设势函数池中动态选择合适项。该方法在理论上保持最优策略不变,并在 Google Research Football 环境中提升了胜率与常识对齐效果。"
