序号,标题,标题翻译,链接,作者,作者单位,年份,期刊/会议,类别,AI建议新类别,摘要总结
1,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents.,AgentDojo:一个用于评估大语言模型智能体提示注入攻击与防御的动态环境,http://papers.nips.cc/paper_files/paper/2024/hash/97091a5177d8dc64b1da8bf3e1f6fb54-Abstract-Datasets_and_Benchmarks_Track.html,Edoardo Debenedetti; Jie Zhang 0107; Mislav Balunovic; Luca Beurer-Kellner; Marc Fischer 0002; Florian Tramèr,N/A,2024,NeurIPS,N/A,N/A,N/A
2,AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases.,AgentPoison:通过污染记忆或知识库对大语言模型智能体进行红队测试,http://papers.nips.cc/paper_files/paper/2024/hash/eb113910e9c3f6242541c1652e30dfd6-Abstract-Conference.html,Zhaorun Chen; Zhen Xiang; Chaowei Xiao; Dawn Song; Bo Li 0026,N/A,2024,NeurIPS,N/A,N/A,N/A
3,ALI-Agent: Assessing LLMs' Alignment with Human Values via Agent-based Evaluation.,ALI-Agent:通过基于智能体的评估来衡量大语言模型与人类价值观的一致性,http://papers.nips.cc/paper_files/paper/2024/hash/b35c38f70065ac6c694089ca93a015bb-Abstract-Conference.html,Jingnan Zheng; Han Wang 0019; An Zhang 0003; Tai D. Nguyen; Jun Sun 0001; Tat-Seng Chua,N/A,2024,NeurIPS,智能体安全评测与红队,N/A,"论文提出 ALI-Agent,一个利用大语言模型智能体自主能力进行对齐评测的框架。该框架通过“模拟”和“优化”两个阶段自动生成真实测试场景,并迭代细化场景以挖掘长尾风险;同时结合记忆模块、工具使用模块和行动模块,减少人工评测成本并提升测试覆盖度。实验从刻板印象、道德和法律三个维度验证了其发现模型价值观不对齐问题的有效性。"
4,Can an AI Agent Safely Run a Government? Existence of Probably Approximately Aligned Policies.,人工智能体能否安全执政?概率近似对齐策略的存在性,http://papers.nips.cc/paper_files/paper/2024/hash/b51693c2ba5b5ddf67429966576fb962-Abstract-Conference.html,Frédéric Berdoz; Roger Wattenhofer,N/A,2024,NeurIPS,智能体对齐与鲁棒性,N/A,"论文从效用理论和社会选择理论出发,提出了社会决策场景下“对齐”的定量定义,并给出了概率近似对齐(即近最优对齐)策略存在的充分条件。针对该条件在实践中较难满足的问题,进一步提出“安全(非破坏性)策略”的放宽概念,并设计了一种简单但稳健的方法,用于保护任意自主智能体的黑箱策略,使其所有行为都能被验证为对社会安全。"
5,Everyday Object Meets Vision-and-Language Navigation Agent via Backdoor.,日常物体与视觉-语言导航智能体相遇:通过后门,http://papers.nips.cc/paper_files/paper/2024/hash/58e6c003c9fb3992265005ff6aef1913-Abstract-Conference.html,Keji He; Kehan Chen; Jiawang Bai; Yan Huang 0008; Qi Wu 0001; Shu-Tao Xia; Liang Wang 0001,N/A,2024,NeurIPS,N/A,N/A,N/A
6,Scalable Constrained Policy Optimization for Safe Multi-agent Reinforcement Learning.,用于安全多智能体强化学习的可扩展约束策略优化,http://papers.nips.cc/paper_files/paper/2024/hash/fa76985f05e0a25c66528308dda33de0-Abstract-Conference.html,Lijun Zhang; Lin Li 0090; Wei Wei 0018; Huizhong Song; Yaodong Yang 0001; Jiye Liang,N/A,2024,NeurIPS,N/A,N/A,N/A
7,SleeperNets: Universal Backdoor Poisoning Attacks Against Reinforcement Learning Agents.,SleeperNets:针对强化学习智能体的通用后门投毒攻击,http://papers.nips.cc/paper_files/paper/2024/hash/cb03b5108f1c3a38c990ef0b45bc8b31-Abstract-Conference.html,Ethan Rathbun; Christopher Amato; Alina Oprea,N/A,2024,NeurIPS,智能体攻击与对抗,N/A,"本文研究强化学习智能体在训练阶段遭受后门投毒攻击的安全问题。作者指出现有方法难以跨任务、跨MDP泛化,并据此提出一种新的投毒攻击框架,将攻击目标与最优策略学习过程结合,在理论上保证攻击最终成功。基于该分析,论文提出通用后门攻击方法 SleeperNets,在新的威胁模型下利用动态奖励投毒,使智能体在推理时遇到特定触发器后稳定执行指定动作,同时基本保持正常任务表现。实验在6个跨领域环境中验证了该方法比已有方法具有更高的攻击成功率。"
8,Watch Out for Your Agents! Investigating Backdoor Threats to LLM-Based Agents.,当心你的智能体!探究基于大语言模型的智能体后门威胁,http://papers.nips.cc/paper_files/paper/2024/hash/b6e9d6f4f3428cd5f3f9e9bbae2cab10-Abstract-Conference.html,Wenkai Yang; Xiaohan Bi; Yankai Lin 0001; Sishuo Chen; Jie Zhou 0016; Xu Sun 0001,N/A,2024,NeurIPS,智能体攻击与对抗,N/A,"本文首次系统研究了基于大语言模型的智能体后门攻击,提出了智能体后门攻击的一般框架,并分析了不同攻击形式。研究指出,相比传统LLM后门,智能体后门不仅可操控最终输出,还可仅在中间推理步骤植入恶意行为;触发器也可隐藏在用户输入或外部环境返回的中间观察中。作者在网页购物和工具使用任务上实现了这些攻击,实验表明现有文本后门防御难以有效缓解该风险。"
9,Efficient Adversarial Attacks on Online Multi-agent Reinforcement Learning.,在线多智能体强化学习中的高效对抗攻击,http://papers.nips.cc/paper_files/paper/2023/hash/4cddc8fc57039f8fe44e23aba1e4df40-Abstract-Conference.html,Guanlin Liu; Lifeng Lai,N/A,2023,NeurIPS,智能体攻击与对抗,N/A,"论文研究了在线多智能体强化学习中的对抗攻击问题,设定外部攻击者可在智能体接收奖励前篡改奖励或在环境接收动作前操纵动作。作者分析了仅动作投毒和仅奖励投毒的局限性,并提出结合两者的混合攻击策略,可在缺乏环境与算法先验信息的情况下有效诱导智能体进入目标策略或按攻击者指定目标优化回报,同时尽量减少操纵幅度。"
10,Robust Multi-Agent Reinforcement Learning via Adversarial Regularization: Theoretical Foundation and Stable Algorithms.,通过对抗正则化实现鲁棒多智能体强化学习:理论基础与稳定算法,http://papers.nips.cc/paper_files/paper/2023/hash/d6f8517fceeca1e2cd61721dff786c14-Abstract-Conference.html,Alexander Bukharin; Yan Li; Yue Yu 0001; Qingru Zhang; Zhehui Chen; Simiao Zuo; Chao Zhang 0014; Songan Zhang; Tuo Zhao,N/A,2023,NeurIPS,智能体对齐与鲁棒性,N/A,"论文针对多智能体强化学习在环境微小变化、观测噪声、转移动力学变化以及恶意智能体动作下鲁棒性不足的问题,提出通过控制策略的 Lipschitz 常数来提升鲁棒性,并证明在一定条件下存在 Lipschitz 且近似最优的策略。基于此,作者提出 ERNIE 框架,利用对抗正则化增强策略对状态观测和动作扰动的连续性与稳定性,并进一步将对抗正则化重构为 Stackelberg 博弈以缓解训练不稳定。实验在交通灯控制和粒子环境中验证了方法有效性,并扩展到平均场 MARL 的分布鲁棒优化形式。"
11,Sample-Efficient and Safe Deep Reinforcement Learning via Reset Deep Ensemble Agents.,通过重置深度集成智能体实现样本高效且安全的深度强化学习,http://papers.nips.cc/paper_files/paper/2023/hash/a6f6a5c517b2b92f3d309786af64086c-Abstract-Conference.html,Woojun Kim; Yongjae Shin; Jongeui Park; Youngchul Sung,N/A,2023,NeurIPS,智能体对齐与鲁棒性,N/A,"本文针对深度强化学习中的“首因偏置”问题,提出一种基于重置机制并结合深度集成学习的新方法,在保留经验回放缓冲区的同时提升样本效率,缓解普通重置策略可能带来的性能崩溃。实验结果表明,该方法在安全强化学习场景下兼顾了训练效率与安全性。"
