序号,标题,标题翻译,链接,作者,作者单位,年份,期刊/会议,类别,AI建议新类别,摘要总结
1,A Multi-Agent Framework for Mitigating Dialect Biases in Privacy Policy Question-Answering Systems.,用于缓解隐私政策问答系统方言偏差的多智能体框架,https://aclanthology.org/2025.acl-long.1554/,Dorde Klisura; Astrid R. Bernaga Torres; Anna Karen Gárate-Escamilla; Rajesh Roshan Biswal; Ke Yang; Hilal Pataci; Anthony Rios,N/A,2025,ACL (1),多智能体安全,N/A,"本文提出一个面向隐私政策问答系统的多智能体框架,通过“方言代理”将用户方言查询转换为标准美式英语,同时保留原意,再由“隐私政策代理”结合领域知识修正预测,从而缓解不同英语方言带来的性能差异。该方法无需重新训练或方言微调,在 PrivacyQA 和 PolicyQA 上显著提升了零样本准确率,体现了结构化智能体协作在提升语言公平性方面的作用。"
2,"Agent-RewardBench: Towards a Unified Benchmark for Reward Modeling across Perception, Planning, and Safety in Real-World Multimodal Agents.",Agent-RewardBench:面向真实世界多模态智能体中感知、规划与安全奖励建模的统一基准,https://aclanthology.org/2025.acl-long.857/,Tianyi Men; Zhuoran Jin; Pengfei Cao; Yubo Chen 0001; Kang Liu 0001; Jun Zhao 0001,N/A,2025,ACL (1),智能体安全评测与红队,N/A,"本文提出了 Agent-RewardBench,一个用于评测多模态大语言模型在智能体奖励建模能力上的统一基准。该基准覆盖感知、规划和安全三个维度,包含7类真实世界智能体场景,并支持任务步骤级别的细粒度奖励评估。作者通过多模型采样、难度控制和人工校验构建高质量数据集。实验表明,当前先进的多模态模型在该评测上表现仍然有限,说明智能体奖励建模仍需专门训练与进一步研究。"
3,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks.,围攻中的智能体:利用优化的提示攻击攻破务实型多智能体大语言模型系统,https://aclanthology.org/2025.acl-long.476/,Rana Muhammad Shahroz; Zhen Tan 0001; Sukwon Yun; Charles Fleming; Tianlong Chen 0001,N/A,2025,ACL (1),N/A,N/A,N/A
4,AGrail: A Lifelong Agent Guardrail with Effective and Adaptive Safety Detection.,AGrail:一种具有效与自适应安全检测的终身智能体护栏,https://aclanthology.org/2025.acl-long.399/,Weidi Luo; Shenghong Dai; Xiaogeng Liu; Suman Banerjee 0001; Huan Sun 0001; Muhao Chen 0001; Chaowei Xiao,N/A,2025,ACL (1),智能体安全评测与红队,N/A,"本文提出 AGrail,一种面向长期运行智能体的护栏机制,强调对智能体行为进行持续的安全检测,并具备随环境与风险变化自适应调整的能力,以提升智能体在生命周期内的安全性与稳健性。"
5,Attacking Vision-Language Computer Agents via Pop-ups.,通过弹窗攻击视觉-语言计算机智能体,https://aclanthology.org/2025.acl-long.411/,Yanzhe Zhang; Tao Yu 0009; Diyi Yang,N/A,2025,ACL (1),N/A,N/A,N/A
6,Frictional Agent Alignment Framework: Slow Down and Don't Break Things.,"摩擦式智能体对齐框架:放慢速度,别把事情搞砸",https://aclanthology.org/2025.acl-long.542/,Abhijnan Nath; Carine Graff; Andrei Bachinin; Nikhil Krishnaswamy,N/A,2025,ACL (1),智能体对齐与鲁棒性,N/A,"该论文提出摩擦式智能体对齐框架(FAAF),面向动态协作场景中人机信念不一致且显式反馈稀缺、偏斜的问题,通过生成与上下文相关的“摩擦”来促使用户和模型重新审视证据并进行审慎协作。该方法将目标拆分为识别信念失配的摩擦状态策略和生成协作者偏好响应的干预策略,并给出解析解,使其可通过简单监督损失训练单一策略。实验表明,FAAF在简洁可解释的摩擦生成和分布外泛化方面优于基线方法。"
7,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems.,G-Safeguard:一种面向基于大语言模型的多智能体系统的拓扑引导安全视角与治理方法,https://aclanthology.org/2025.acl-long.359/,Shilong Wang 0002; Guibin Zhang; Miao Yu; Guancheng Wan; Fanci Meng; Chongye Guo; Kun Wang 0056; Yang Wang 0015,N/A,2025,ACL (1),N/A,N/A,N/A
8,Multiple LLM Agents Debate for Equitable Cultural Alignment.,多个大语言模型智能体通过辩论实现公平的文化对齐,https://aclanthology.org/2025.acl-long.1210/,Dayeon Ki; Rachel Rudinger; Tianyi Zhou 0001; Marine Carpuat,N/A,2025,ACL (1),N/A,N/A,N/A
9,The Task Shield: Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents.,任务防护盾:通过强制任务对齐抵御 LLM 智能体中的间接提示注入,https://aclanthology.org/2025.acl-long.1435/,Feiran Jia; Tong Wu; Xin Qin; Anna Cinzia Squicciarini,N/A,2025,ACL (1),提示注入与越狱,N/A,"论文提出 Task Shield,一种测试时防御机制,通过逐条验证智能体的指令与工具调用是否服务于用户目标,来抵御外部数据中的间接提示注入攻击。实验表明,该方法在保持较高任务可用性的同时,显著降低了攻击成功率。"
10,Unveiling Privacy Risks in LLM Agent Memory.,揭示大语言模型智能体记忆中的隐私风险,https://aclanthology.org/2025.acl-long.1227/,Bo Wang 0069; Weiyi He; Shenglai Zeng; Zhen Xiang; Yue Xing 0002; Jiliang Tang; Pengfei He,N/A,2025,ACL (1),记忆与长期上下文隐私,N/A,"论文研究了大语言模型智能体在记忆模块中存储用户与智能体交互内容所带来的隐私泄露问题,提出了一种黑盒场景下的记忆提取攻击 MEXTRA。作者通过设计有效的攻击提示词和基于不同先验知识的自动化提示生成方法,从智能体记忆中提取私人信息,并在两个代表性智能体上验证了攻击有效性。同时,论文还分析了从攻击者和设计者视角影响记忆泄露的关键因素,指出在智能体设计与部署中需要加强记忆保护机制。"
